="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="江苏省 # date=2022",="",="-0.0233",="",="-0.0772"
="",="",="(0.0483)",="",="(0.0490)"
="江苏省 # date=2023",="",="0.0271",="",="-0.0249"
="",="",="(0.0463)",="",="(0.0494)"
="江西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="江西省 # date=2016",="",="0.0317",="",="-0.0053"
="",="",="(0.0611)",="",="(0.0522)"
="江西省 # date=2017",="",="0.0050",="",="-0.0551"
="",="",="(0.0633)",="",="(0.0579)"
="江西省 # date=2018",="",="0.0852",="",="0.0044"
="",="",="(0.0693)",="",="(0.0592)"
="江西省 # date=2019",="",="-0.0176",="",="-0.1035*"
="",="",="(0.0685)",="",="(0.0589)"
="江西省 # date=2020",="",="0.0571",="",="-0.0330"
="",="",="(0.0639)",="",="(0.0537)"
="江西省 # date=2021",="",="-0.0079",="",="-0.1314**"
="",="",="(0.0739)",="",="(0.0615)"
="江西省 # date=2022",="",="-0.0159",="",="-0.1002"
="",="",="(0.0815)",="",="(0.0641)"
="江西省 # date=2023",="",="-0.0313",="",="-0.0923"
="",="",="(0.0882)",="",="(0.0631)"
="河北省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河北省 # date=2016",="",="0.0562",="",="0.0666"
="",="",="(0.0582)",="",="(0.0652)"
="河北省 # date=2017",="",="0.0091",="",="0.0236"
="",="",="(0.0604)",="",="(0.0740)"
="河北省 # date=2018",="",="0.0688",="",="0.0497"
="",="",="(0.0610)",="",="(0.0704)"
="河北省 # date=2019",="",="-0.0292",="",="-0.0280"
="",="",="(0.0583)",="",="(0.0625)"
="河北省 # date=2020",="",="0.0085",="",="-0.0477"
="",="",="(0.0725)",="",="(0.0915)"
="河北省 # date=2021",="",="-0.0155",="",="-0.0585"
="",="",="(0.0713)",="",="(0.0730)"
="河北省 # date=2022",="",="0.0793",="",="0.0409"
="",="",="(0.0737)",="",="(0.0763)"
="河北省 # date=2023",="",="0.0022",="",="-0.0171"
="",="",="(0.0731)",="",="(0.0769)"
="河南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="河南省 # date=2016",="",="0.0032",="",="0.0302"
="",="",="(0.0730)",="",="(0.0690)"
="河南省 # date=2017",="",="-0.0305",="",="-0.0040"
="",="",="(0.0860)",="",="(0.0791)"
="河南省 # date=2018",="",="0.0236",="",="0.0136"
="",="",="(0.0826)",="",="(0.0787)"
="河南省 # date=2019",="",="0.0346",="",="0.0174"
="",="",="(0.0887)",="",="(0.0825)"
="河南省 # date=2020",="",="0.0029",="",="-0.0182"
="",="",="(0.0947)",="",="(0.0863)"
="河南省 # date=2021",="",="-0.0074",="",="-0.0378"
="",="",="(0.0947)",="",="(0.0847)"
="河南省 # date=2022",="",="0.0006",="",="-0.0233"
="",="",="(0.1010)",="",="(0.0890)"
="河南省 # date=2023",="",="0.0002",="",="-0.0356"
="",="",="(0.0995)",="",="(0.0864)"
="浙江省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="浙江省 # date=2016",="",="0.0208",="",="-0.0093"
="",="",="(0.0284)",="",="(0.0322)"
="浙江省 # date=2017",="",="0.0041",="",="-0.0256"
="",="",="(0.0342)",="",="(0.0343)"
="浙江省 # date=2018",="",="0.0674*",="",="0.0107"
="",="",="(0.0370)",="",="(0.0386)"
="浙江省 # date=2019",="",="0.0319",="",="-0.0255"
="",="",="(0.0368)",="",="(0.0377)"
="浙江省 # date=2020",="",="0.0402",="",="-0.0237"
="",="",="(0.0409)",="",="(0.0412)"
="浙江省 # date=2021",="",="-0.0411",="",="-0.1172**"
="",="",="(0.0454)",="",="(0.0467)"
="浙江省 # date=2022",="",="-0.0128",="",="-0.0752"
="",="",="(0.0505)",="",="(0.0494)"
="浙江省 # date=2023",="",="0.0246",="",="-0.0495"
="",="",="(0.0466)",="",="(0.0477)"
="海南省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="海南省 # date=2016",="",="0.0216",="",="0.0265"
="",="",="(0.0884)",="",="(0.0674)"
="海南省 # date=2017",="",="-0.0247",="",="-0.1050"
="",="",="(0.0934)",="",="(0.0932)"
="海南省 # date=2018",="",="-0.1159",="",="-0.1489*"
="",="",="(0.0906)",="",="(0.0850)"
="海南省 # date=2019",="",="-0.2323*",="",="-0.1755"
="",="",="(0.1338)",="",="(0.1753)"
="海南省 # date=2020",="",="-0.1024",="",="-0.1146"
="",="",="(0.1629)",="",="(0.1745)"
="海南省 # date=2021",="",="-0.3027*",="",="-0.1103"
="",="",="(0.1805)",="",="(0.1675)"
="海南省 # date=2022",="",="-0.3222*",="",="-0.2664*"
="",="",="(0.1854)",="",="(0.1535)"
