="Basic Regression Results"
="",="(1)",="(2)",="(3)",="(4)"
="",="",="(0.1267)",="",="(0.1105)"
="贵州省 # date=2018",="",="-0.0901",="",="-0.0039"
="",="",="(0.0868)",="",="(0.0734)"
="贵州省 # date=2019",="",="-0.0917",="",="0.0150"
="",="",="(0.1121)",="",="(0.1001)"
="贵州省 # date=2020",="",="-0.1751",="",="-0.0533"
="",="",="(0.1140)",="",="(0.0911)"
="贵州省 # date=2021",="",="-0.2583**",="",="-0.1209"
="",="",="(0.1102)",="",="(0.0979)"
="贵州省 # date=2022",="",="-0.2390**",="",="-0.1183"
="",="",="(0.1136)",="",="(0.0978)"
="贵州省 # date=2023",="",="-0.2234",="",="-0.0996"
="",="",="(0.1396)",="",="(0.1295)"
="辽宁省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="辽宁省 # date=2016",="",="-0.0563",="",="-0.0392"
="",="",="(0.0602)",="",="(0.0540)"
="辽宁省 # date=2017",="",="-0.1509**",="",="-0.1208**"
="",="",="(0.0687)",="",="(0.0505)"
="辽宁省 # date=2018",="",="-0.1018",="",="-0.0759"
="",="",="(0.0925)",="",="(0.0685)"
="辽宁省 # date=2019",="",="-0.1491**",="",="-0.1036*"
="",="",="(0.0753)",="",="(0.0592)"
="辽宁省 # date=2020",="",="-0.1432",="",="-0.0766"
="",="",="(0.0874)",="",="(0.0685)"
="辽宁省 # date=2021",="",="-0.2069**",="",="-0.1083"
="",="",="(0.0900)",="",="(0.0696)"
="辽宁省 # date=2022",="",="-0.0988",="",="-0.0675"
="",="",="(0.1122)",="",="(0.0743)"
="辽宁省 # date=2023",="",="-0.1371",="",="-0.0810"
="",="",="(0.1002)",="",="(0.0708)"
="重庆 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="重庆 # date=2016",="",="-0.1033",="",="-0.0375"
="",="",="(0.0788)",="",="(0.0723)"
="重庆 # date=2017",="",="-0.0471",="",="-0.0142"
="",="",="(0.0939)",="",="(0.0939)"
="重庆 # date=2018",="",="-0.0331",="",="0.0226"
="",="",="(0.0787)",="",="(0.0808)"
="重庆 # date=2019",="",="-0.1461**",="",="-0.1089"
="",="",="(0.0710)",="",="(0.0832)"
="重庆 # date=2020",="",="-0.1401*",="",="-0.1482"
="",="",="(0.0820)",="",="(0.0916)"
="重庆 # date=2021",="",="-0.1682**",="",="-0.2134**"
="",="",="(0.0773)",="",="(0.0893)"
="重庆 # date=2022",="",="-0.1115",="",="-0.1503"
="",="",="(0.0846)",="",="(0.1137)"
="重庆 # date=2023",="",="-0.0715",="",="-0.1346"
="",="",="(0.0789)",="",="(0.0969)"
="陕西省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="陕西省 # date=2016",="",="-0.0326",="",="-0.0569"
="",="",="(0.0798)",="",="(0.0761)"
="陕西省 # date=2017",="",="-0.0443",="",="-0.0422"
="",="",="(0.0794)",="",="(0.0656)"
="陕西省 # date=2018",="",="-0.0347",="",="-0.0531"
="",="",="(0.1047)",="",="(0.0864)"
="陕西省 # date=2019",="",="0.0079",="",="-0.0341"
="",="",="(0.0992)",="",="(0.0912)"
="陕西省 # date=2020",="",="-0.0389",="",="-0.0775"
="",="",="(0.1138)",="",="(0.0924)"
="陕西省 # date=2021",="",="-0.1310",="",="-0.1580"
="",="",="(0.1239)",="",="(0.1002)"
="陕西省 # date=2022",="",="-0.1417",="",="-0.2027*"
="",="",="(0.1620)",="",="(0.1229)"
="陕西省 # date=2023",="",="-0.1327",="",="-0.1671"
="",="",="(0.1535)",="",="(0.1212)"
="青海省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省 # date=2016",="",="-0.0984**",="",="-0.0481"
="",="",="(0.0485)",="",="(0.0411)"
="青海省 # date=2017",="",="-0.1021***",="",="-0.0811**"
="",="",="(0.0354)",="",="(0.0364)"
="青海省 # date=2018",="",="-0.2032**",="",="-0.1297**"
="",="",="(0.0908)",="",="(0.0520)"
="青海省 # date=2019",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省 # date=2020",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="青海省 # date=2021",="",="-0.2873***",="",="-0.1194*"
="",="",="(0.0560)",="",="(0.0677)"
="青海省 # date=2022",="",="-0.2274***",="",="-0.0558"
="",="",="(0.0468)",="",="(0.0507)"
="青海省 # date=2023",="",="-0.2814***",="",="-0.1033"
="",="",="(0.0615)",="",="(0.0860)"
="黑龙江省 # date=2015",="",="0.0000",="",="0.0000"
="",="",="(.)",="",="(.)"
="黑龙江省 # date=2016",="",="0.0380",="",="0.0341"
="",="",="(0.0783)",="",="(0.0749)"
="黑龙江省 # date=2017",="",="0.0238",="",="0.0754"
="",="",="(0.0631)",="",="(0.0673)"
="黑龙江省 # date=2018",="",="0.1247",="",="0.1519"
="",="",="(0.1014)",="",="(0.0987)"
="黑龙江省 # date=2019",="",="-0.0909",="",="-0.0430"
="",="",="(0.0634)",="",="(0.0590)"
="黑龙江省 # date=2020",="",="-0.1140",="",="-0.0344"
="",="",="(0.0854)",="",="(0.0791)"
="黑龙江省 # date=2021",="",="-0.0456",="",="0.0623"
="",="",="(0.0934)",="",="(0.0798)"
="黑龙江省 # date=2022",="",="-0.1440",="",="-0.0581"
="",="",="(0.1178)",="",="(0.0851)"
="黑龙江省 # date=2023",="",="-0.1774***",="",="-0.0636"
="",="",="(0.0657)",="",="(0.0603)"
="Boardsize",="",="",="-0.0225",="-0.0455"
="",="",="",="(0.0233)",="(0.0358)"
="size",="",="",="3.6561***",="3.6930***"
="",="",="",="(0.0413)",="(0.1304)"
="indp",="",="",="0.1093",="0.0546"
="",="",="",="(0.0711)",="(0.0941)"
="dual",="",="",="-0.0131*",="-0.0120"
="",="",="",="(0.0073)",="(0.0101)"
="salegr",="",="",="-0.0360***",="-0.0216**"
="",="",="",="(0.0072)",="(0.0090)"
="roa",="",="",="0.0550",="0.0394"
="",="",="",="(0.0552)",="(0.0843)"
="tobinq",="",="",="0.0050**",="0.0009"
="",="",="",="(0.0025)",="(0.0046)"
="degree",="",="",="0.0187",="0.0000"
="",="",="",="(0.0125)",="(.)"
="Constant",="10.1986***",="10.1127***",="1.8702***",="1.9480***"
="",="(0.0133)",="(0.0079)",="(0.1078)",="(0.3100)"
="N",="8850",="8850",="8850",="8850"
="Adj-R2",="",="0.2480",="",="0.4289"
="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
